Grão 422 | Harmônicos: 170 | R²: 0.9990
Grão 424 | Harmônicos: 23 | R²: 0.9991
Grão 425 | Harmônicos: 151 | R²: 0.9990
Grão 427 | Harmônicos: 166 | R²: 0.9990
Grão 428 | Harmônicos: 92 | R²: 0.9990
Grão 429 | Harmônicos: 149 | R²: 0.9990
Grão 430 | Harmônicos: 171 | R²: 0.9991
Grão 431 | Harmônicos: 27 | R²: 0.9990
Grão 433 | Harmônicos: 38 | R²: 0.9990
Grão 435 | Harmônicos: 34 | R²: 0.9990
Grão 437 | Harmônicos: 31 | R²: 0.9992
Grão 439 | Harmônicos: 126 | R²: 0.9990
Grão 440 | Harmônicos: 92 | R²: 0.9990
Grão 441 | Harmônicos: 24 | R²: 0.9915
Grão 442 | Harmônicos: 90 | R²: 0.9990
Grão 443 | Harmônicos: 137 | R²: 0.9990
Grão 444 | Harmônicos: 148 | R²: 0.9990
Grão 445 | Harmônicos: 164 | R²: 0.9990
Grão 446 | Harmônicos: 32 | R²: 0.9990
Grão 447 | Harmônicos: 166 | R²: 0.9991
Grão 448 | Harmônicos: 177 | R²: 0.9991
Grão 449 | Harmônicos: 62 | R²: 0.9842
Grão 450 | Harmônicos: 35 | R²: 0.9990
Grão 451 | Harmônicos: 121 | R²: 0.9990
Grão 452 | Harmônicos: 167 | R²: 0.9991
Grão 453 | Harmônicos: 43 | R²: 0.9990
Grão 454 | Harmônicos: 38 | R²: 0.9991
Grão 455 | Harmônicos: 63 | R²: 0.9990
Grão 456 | Harmônicos: 153 | R²: 0.9990
Grão 457 | Harmônicos: 168 | R²: 0.9991
Grão 458 | Harmônicos: 175 | R²: 0.9992
Grão 459 | Harmônicos: 172 | R²: 0.9991
Grão 460 | Harmônicos: 57 | R²: 0.9990
Grão 461 | Harmônicos: 101 | R²: 0.9990
Grão 462 | Harmônicos: 125 | R²: 0.9990
Grão 463 | Harmônicos: 81 | R²: 0.9990
Grão 464 | Harmônicos: 63 | R²: 0.9990
Grão 465 | Harmônicos: 155 | R²: 0.9990
Grão 466 | Harmônicos: 39 | R²: 0.9992
Grão 467 | Harmônicos: 137 | R²: 0.9990
Grão 468 | Harmônicos: 79 | R²: 0.9802
Grão 469 | Harmônicos: 176 | R²: 0.9992
Grão 470 | Harmônicos: 150 | R²: 0.9990
Grão 471 | Harmônicos: 118 | R²: 0.9990
Grão 472 | Harmônicos: 179 | R²: 0.9983
Grão 473 | Harmônicos: 98 | R²: 0.9990
Grão 474 | Harmônicos: 36 | R²: 0.9991
Grão 475 | Harmônicos: 27 | R²: 0.9990
Grão 476 | Harmônicos: 152 | R²: 0.9990
Grão 477 | Harmônicos: 47 | R²: 0.9991
Grão 478 | Harmônicos: 173 | R²: 0.9991
Grão 479 | Harmônicos: 165 | R²: 0.9991
Grão 480 | Harmônicos: 137 | R²: 0.9991
Grão 481 | Harmônicos: 91 | R²: 0.9990
Grão 482 | Harmônicos: 165 | R²: 0.9990
Grão 484 | Harmônicos: 175 | R²: 0.9993
Grão 485 | Harmônicos: 68 | R²: 0.9492
Grão 487 | Harmônicos: 169 | R²: 0.9990
Grão 488 | Harmônicos: 171 | R²: 0.9991
Grão 490 | Harmônicos: 175 | R²: 0.9991
Grão 491 | Harmônicos: 128 | R²: 0.9990
Grão 492 | Harmônicos: 44 | R²: 0.9990
Grão 493 | Harmônicos: 154 | R²: 0.9990
Grão 494 | Harmônicos: 159 | R²: 0.9990
Grão 495 | Harmônicos: 178 | R²: 0.9990
Grão 496 | Harmônicos: 178 | R²: 0.9992
Grão 497 | Harmônicos: 140 | R²: 0.9990
Grão 498 | Harmônicos: 166 | R²: 0.9991
Grão 500 | Harmônicos: 42 | R²: 0.9990
Grão 501 | Harmônicos: 100 | R²: 0.9990
Grão 502 | Harmônicos: 42 | R²: 0.9990
Grão 503 | Harmônicos: 178 | R²: 0.9991
Grão 505 | Harmônicos: 32 | R²: 0.9990
Grão 507 | Harmônicos: 46 | R²: 0.9990
Grão 508 | Harmônicos: 179 | R²: 0.9988
Grão 509 | Harmônicos: 29 | R²: 0.9967
