label,area,perimeter,eccentricity,solidity,extent,major_axis_length,minor_axis_length,equivalent_diameter,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,circularity
323,343,"89,39696961967","0,578048892767796","0,849009900990099","0,527692307692308","24,7785330114782","20,2193357369794","20,8978746250465","287,539358600583","152,997084548105",277,141,302,167,"0,539334732743634"
324,184,"53,4558441227157","0,532401330207719","0,910891089108911","0,676470588235294","17,0286425055711","14,4146108339754","15,3060797146516","286,771739130435","993,16847826087",279,985,295,1002,"0,809165398563784"
325,454,"105,39087296526","0,931937056124125","0,851782363977486","0,675595238095238","42,0685464637128","15,2548997423643","24,0426860668637","296,116740088106","5,67621145374449",278,0,320,16,"0,513641035925177"
326,1630,"168,509667991878","0,356329526718986","0,911633109619687","0,63921568627451","48,7306772652901","45,5320127888369","45,5563437725013","292,011042944785","746,123312883436",271,720,322,770,"0,721352967246721"
327,370,"76,0771644662754","0,712391142084845","0,925","0,778947368421053","26,260585953459","18,429223092773","21,704806646271","294,048648648649","77,3945945945946",286,66,305,91,"0,803346588067085"
328,228,"59,3553390593274","0,824974137054145","0,942148760330579","0,660869565217391","22,8455153832001","12,9116109299024","17,0381517835597","290,820175438596","604,206140350877",284,593,299,616,"0,813251982526943"
329,241,"60,2842712474619","0,671114186479406","0,945098039215686","0,667590027700831","20,9785544146776","15,5525351643141","17,5171553136111","292,124481327801","1180,47302904564",282,1170,301,1189,"0,833333567643722"
330,948,"148,752308678997","0,791809450800965","0,857142857142857","0,541714285714286","46,217379505486","28,2281056700256","34,7423529486552","295,503164556962","353,925105485232",280,330,315,380,"0,53838229780842"
331,611,"98,6690475583121","0,815148906869032","0,948757763975155","0,67964404894327","37,0282289605019","21,4486558693474","27,891743614073","296,89852700491","793,852700490998",283,779,314,808,"0,788658888248189"
332,296,"69,3553390593274","0,862804472126279","0,933753943217666","0,644880174291939","27,5775329393072","13,9414846674093","19,4133692398205","296,25","977,02027027027",288,964,305,991,"0,773288900712854"
333,270,"60,9705627484771","0,3920682657188","0,957446808510638","0,835913312693498","19,5653717591186","17,998892290224","18,5411616971131","295,866666666667","56,8851851851852",287,49,306,66,"0,912710866510577"
334,737,"119,39696961967","0,590197372162949","0,851039260969977","0,587719298245614","35,4803108333705","28,6417995576318","30,6329486740962","295,500678426052","519,377204884668",277,502,315,535,"0,649666904553854"
335,415,"78,4264068711929","0,584172834093409","0,945330296127563","0,665064102564102","25,8407668666462","20,973123193736","22,9868312532435","295,534939759036","545,479518072289",284,535,310,559,"0,847877917503629"
336,1170,"133,882250993909","0,617539502098505","0,956663941128373","0,687426556991774","44,0010974182469","34,6086173382657","38,5965058954841","296,962393162393","1023,72991452991",276,1006,322,1043,"0,820256564044641"
337,410,"103,154328932551","0,674116291170365","0,755064456721915","0,523627075351213","29,2415246338753","21,5985277708767","22,8479367414525","299,685365853659","393,619512195122",285,377,312,406,"0,484193332207502"
338,504,"139,539105243401","0,950077131238255","0,700973574408901","0,446808510638298","52,0247345325139","16,2325045875946","25,3320494738685","306,839285714286","1376,85317460317",286,1364,333,1388,"0,325273387624458"
339,662,"122,225396744416","0,729891833942997","0,808302808302808","0,472857142857143","39,6932766853837","27,1328418125117","29,032474552037","298,791540785498","895,59667673716",280,880,320,915,"0,556858614033087"
340,648,"100,083261120685","0,805280884853795","0,950146627565982","0,75","37,5196073628297","22,2451311427734","28,7238441889032","302,978395061728","855,344135802469",292,838,316,874,"0,81294651548355"
